feature,importance
lag_1h,0.4756928
lag_168h,0.13932124
es_finde,0.06888897
es_hora_pico_mañana,0.067568116
lag_24h,0.06329416
hora_del_dia_cos,0.046139374
media_movil_6h,0.042610735
es_festivo,0.016197594
es_hora_pico_tarde,0.013823993
media_movil_12h,0.009922389
hora_del_dia,0.009054157
dia_semana_sin,0.008266054
hora_del_dia_sin,0.0077434476
std_movil_6h,0.006830483
dia_semana_cos,0.0054933447
dia_semana,0.0053460984
std_movil_12h,0.0030437347
mes_cos,0.0018954603
media_movil_24h,0.0016701706
mes,0.0011090799
lag_48h,0.0010466768
price,0.0009864087
mes_sin,0.0008694635
std_movil_24h,0.0008663281
media_movil_168h,0.0006652923
media_movil_48h,0.00050793815
std_movil_168h,0.00044185005
std_movil_48h,0.00037275863
año,0.00033187878
